,Age,DailyAchievement,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyAchievement,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyAchievement,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Incentive,RemoteWork
0,25,1280,7,1,4,64,2,1,4,2889,26897,1,5,1,3,2,2,2,3,2,2,2,1,0,4
1,27,1167,4,2,1,76,3,1,3,2517,3208,1,5,1,2,3,5,2,3,5,3,0,3,0,1
2,25,240,5,3,3,46,2,2,3,5744,26959,1,5,1,4,0,6,1,3,6,4,0,3,0,2
3,28,440,21,3,3,42,3,1,4,2713,6672,1,5,1,3,1,5,2,1,5,2,0,2,0,5
4,28,529,2,4,1,79,3,1,3,3485,14935,2,5,1,3,0,5,5,1,0,0,0,0,0,1
5,27,1377,2,3,4,74,3,2,3,4478,5242,1,5,1,1,0,5,3,3,5,4,0,4,0,2
6,21,756,1,1,1,99,2,1,2,2174,9150,1,5,1,3,0,3,3,3,3,2,1,2,0,1
7,25,891,4,2,2,99,2,2,4,4487,12090,1,5,1,2,0,5,3,3,5,4,1,3,0,3
8,26,426,17,4,2,58,3,1,3,2741,22808,0,5,1,2,1,8,2,2,7,7,1,0,0,2
9,24,691,23,3,2,89,4,1,4,2725,21630,1,5,1,2,2,6,3,3,6,5,1,4,0,4
10,25,622,13,1,2,40,3,1,3,2096,26376,1,5,1,3,0,7,1,3,7,4,0,6,0,2
11,21,1343,22,1,3,49,3,1,3,3447,24444,1,5,1,3,0,3,2,3,3,2,1,2,0,3
12,20,1362,10,1,4,32,3,1,3,1009,26999,1,5,1,4,0,1,5,3,1,0,1,1,0,2
13,24,1092,9,3,3,60,2,1,2,2694,26551,1,5,1,3,3,1,4,3,1,0,0,0,0,2
14,27,443,3,3,4,50,3,1,4,1706,16571,1,5,1,3,3,0,6,2,0,0,0,0,0,3
15,21,984,1,1,4,70,2,1,2,2070,25326,1,5,1,3,0,2,6,4,2,2,2,2,0,1
16,28,1485,12,1,3,79,3,1,4,2515,22955,1,5,1,4,0,1,4,2,1,1,0,0,0,3
17,22,1256,3,4,3,48,2,1,4,2853,4223,0,5,1,2,1,1,5,3,0,0,0,0,0,2
18,28,640,1,3,4,84,3,1,1,2080,4732,2,5,1,2,0,5,2,2,3,2,1,2,0,0
19,25,882,19,1,4,67,3,1,4,3669,9075,3,5,1,3,3,7,6,2,3,2,1,2,0,4
20,28,736,26,3,3,48,2,2,1,4724,24232,1,5,1,3,1,5,0,3,5,3,0,4,0,3
21,25,1372,18,1,1,93,4,2,3,6232,12477,2,5,1,2,0,6,3,2,3,2,1,2,0,3
22,25,949,1,3,1,81,3,1,4,3229,4910,4,5,1,2,1,7,2,2,3,2,0,2,0,3
23,24,381,9,3,2,89,3,1,1,3172,16998,2,5,1,3,0,4,2,2,0,0,0,0,0,0
24,28,289,2,2,3,38,2,1,1,2561,5355,7,5,1,3,0,8,2,2,0,0,0,0,0,0
25,27,1302,19,3,4,67,2,1,1,4066,16290,1,5,1,1,2,7,3,3,7,7,0,7,0,3
26,20,727,9,1,4,54,3,1,1,2728,21082,1,5,1,1,0,2,3,3,2,2,0,2,0,2
27,23,1320,8,1,4,93,2,1,3,3989,20586,1,5,1,1,0,5,2,3,5,4,1,2,0,2
28,24,240,22,1,4,58,1,1,3,1555,11585,1,5,1,3,1,1,2,3,1,0,0,0,0,4
29,27,1054,8,3,3,67,3,1,4,3445,6152,1,5,1,3,0,6,5,2,6,2,1,4,0,3
30,26,920,20,2,4,69,3,1,2,2148,6889,0,5,1,3,0,6,3,3,5,1,1,4,0,3
31,27,1354,2,4,2,41,3,1,2,2226,6073,1,5,1,3,1,6,3,2,5,3,1,2,0,2
32,28,1475,13,2,4,84,3,2,3,9854,23352,3,5,1,4,0,6,0,3,2,0,2,2,0,2
33,21,501,5,1,3,58,3,1,1,2380,25479,1,5,1,4,0,2,6,3,2,2,1,2,0,1
34,28,783,1,2,3,42,2,2,4,6834,19255,1,6,1,3,1,7,2,3,7,7,0,7,0,2
35,28,1157,2,4,1,84,1,1,4,3464,24737,5,7,1,4,0,5,4,2,3,2,2,2,0,3
36,28,1404,17,3,3,32,2,1,4,2367,18779,5,6,1,1,1,6,2,2,4,1,0,3,0,3
37,27,608,1,2,3,68,3,3,1,7412,6009,1,5,1,4,0,9,3,3,9,7,0,7,0,2
38,24,535,24,3,4,38,3,1,4,2400,5530,0,7,1,3,2,3,3,3,2,2,2,1,0,4
39,25,685,1,3,1,62,3,2,3,4898,7505,0,6,1,4,2,5,3,3,4,2,1,2,0,1
40,28,791,1,4,4,44,3,1,3,2154,6842,0,5,1,3,0,5,2,2,4,2,0,2,0,2
41,27,205,10,3,4,98,2,2,4,5769,7100,1,5,1,4,0,6,3,3,6,2,4,4,0,4
42,28,1181,1,3,3,82,3,1,4,2044,5531,1,5,1,3,1,5,6,4,5,3,0,3,0,2
43,25,583,4,1,3,87,2,2,1,4256,18154,1,6,1,1,0,5,1,4,5,2,0,3,0,1
44,27,1115,3,4,1,54,2,1,4,2045,15174,0,7,1,4,0,5,0,3,4,2,1,1,0,2
45,28,654,1,2,1,67,1,1,2,2216,3872,7,7,1,4,0,10,4,3,7,7,3,7,0,1
46,25,675,5,2,2,85,4,2,1,4000,18384,1,6,1,4,2,6,2,3,6,3,1,5,0,0
47,24,1476,4,1,4,42,3,2,3,4162,15211,1,6,1,3,2,5,3,3,5,4,0,3,0,2
48,28,1476,1,3,3,55,1,2,4,6674,16392,0,5,1,1,3,10,6,3,9,8,7,5,0,3
49,27,1337,22,3,1,58,2,1,2,2863,19555,1,6,1,1,0,1,2,3,1,0,0,0,0,3
50,27,1420,2,1,3,85,3,1,1,3041,16346,0,5,1,2,1,5,3,3,4,3,0,2,0,1
51,26,157,1,3,3,95,3,1,1,2867,20006,0,7,1,4,0,8,6,2,7,7,7,6,0,1
52,26,775,29,2,1,45,3,2,3,4306,4267,5,6,1,1,2,8,5,3,0,0,0,0,0,4
53,27,1469,1,2,4,82,3,1,2,3816,17881,1,5,1,2,1,5,2,3,5,2,0,4,0,1
