,BusinessTravel,Department,EducationField,Gender,JobRole,MaritalStatus,OverTime,HowToEmploy
0,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,No,intern
1,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Divorced,No,intern
2,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Single,Yes,agent_A
3,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,No,New_graduate_recruitment
4,Travel_Rarely,Research & Development,Life Sciences,Male,Laboratory Technician,Single,No,New_graduate_recruitment
5,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Single,Yes,New_graduate_recruitment
6,Travel_Frequently,Sales,Technical Degree,Female,Sales Representative,Single,Yes,direct_recruting
7,Travel_Rarely,Sales,Life Sciences,Female,Sales Executive,Single,Yes,agent_A
8,Travel_Frequently,Human Resources,Life Sciences,Female,Human Resources,Divorced,Yes,agent_A
9,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,Yes,New_graduate_recruitment
10,Travel_Rarely,Sales,Medical,Male,Sales Representative,Married,No,agent_A
11,Travel_Rarely,Sales,Technical Degree,Male,Sales Representative,Single,No,New_graduate_recruitment
12,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,Yes,agent_A
13,Non-Travel,Research & Development,Life Sciences,Male,Laboratory Technician,Divorced,No,New_graduate_recruitment
14,Non-Travel,Research & Development,Medical,Male,Research Scientist,Married,No,New_graduate_recruitment
15,Travel_Rarely,Research & Development,Technical Degree,Female,Research Scientist,Single,Yes,agent_A
16,Travel_Rarely,Research & Development,Life Sciences,Female,Laboratory Technician,Married,Yes,direct_recruting
17,Travel_Frequently,Research & Development,Life Sciences,Male,Research Scientist,Married,Yes,New_graduate_recruitment
18,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Single,No,New_graduate_recruitment
19,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Married,No,New_graduate_recruitment
20,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,No,New_graduate_recruitment
21,Travel_Rarely,Sales,Life Sciences,Male,Sales Executive,Married,No,New_graduate_recruitment
22,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Married,No,New_graduate_recruitment
23,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Single,Yes,New_graduate_recruitment
24,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Single,No,New_graduate_recruitment
25,Travel_Rarely,Research & Development,Other,Male,Laboratory Technician,Divorced,No,New_graduate_recruitment
26,Travel_Rarely,Sales,Life Sciences,Male,Sales Representative,Single,No,New_graduate_recruitment
27,Travel_Rarely,Research & Development,Medical,Male,Laboratory Technician,Single,Yes,New_graduate_recruitment
28,Travel_Rarely,Human Resources,Human Resources,Male,Human Resources,Married,No,New_graduate_recruitment
29,Travel_Rarely,Research & Development,Medical,Female,Research Scientist,Single,No,New_graduate_recruitment
30,Travel_Rarely,Human Resources,Medical,Female,Human Resources,Married,Yes,New_graduate_recruitment
31,Travel_Rarely,Research & Development,Technical Degree,Male,Research Scientist,Married,No,New_graduate_recruitment
32,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Single,Yes,New_graduate_recruitment
33,Travel_Rarely,Sales,Medical,Male,Sales Representative,Single,Yes,agent_A
34,Travel_Frequently,Sales,Life Sciences,Male,Sales Executive,Married,Yes,agent_B
35,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Married,Yes,agent_B
36,Travel_Rarely,Research & Development,Technical Degree,Male,Laboratory Technician,Divorced,No,agent_B
37,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Married,No,agent_B
38,Travel_Frequently,Sales,Medical,Male,Sales Representative,Married,No,agent_B
39,Travel_Rarely,Research & Development,Life Sciences,Female,Manufacturing Director,Married,No,agent_B
40,Travel_Frequently,Research & Development,Medical,Male,Laboratory Technician,Single,Yes,agent_B
41,Travel_Rarely,Sales,Marketing,Female,Sales Executive,Married,Yes,agent_B
42,Travel_Rarely,Research & Development,Life Sciences,Male,Research Scientist,Married,No,agent_B
43,Travel_Rarely,Sales,Marketing,Male,Sales Executive,Married,No,agent_C
44,Travel_Rarely,Research & Development,Medical,Male,Research Scientist,Single,No,agent_C
45,Travel_Rarely,Research & Development,Life Sciences,Female,Research Scientist,Single,Yes,agent_C
46,Non-Travel,Research & Development,Life Sciences,Male,Healthcare Representative,Divorced,No,agent_C
47,Travel_Rarely,Sales,Medical,Female,Sales Executive,Married,Yes,agent_C
48,Non-Travel,Research & Development,Life Sciences,Female,Laboratory Technician,Married,No,agent_C
49,Travel_Frequently,Human Resources,Human Resources,Female,Human Resources,Married,No,agent_C
